,NAME,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,TOTAL_POP,HOUSING_UNITS,POP_UNDER_5,POP_5_9,POP_10_14,POP_15_19,state,county
0,"Washington County, Mississippi",25.7,72.2,47086,0.6,47086,21591,3614,3107,3554,3152,28,151
1,"Perry County, Mississippi",78.8,19.7,12028,0.1,12028,5620,728,776,806,849,28,111
2,"Choctaw County, Mississippi",67.7,31.2,8321,0.2,8321,4200,458,564,486,598,28,019
3,"Itawamba County, Mississippi",90.9,7.2,23480,0.2,23480,10289,1262,1439,1506,1919,28,057
4,"Carroll County, Mississippi",64.4,34.6,10129,0.0,10129,5154,455,467,740,803,28,015
5,"Grenada County, Mississippi",55.2,43.4,21278,0.1,21278,10240,1358,1452,1407,1539,28,043
6,"Jefferson County, Mississippi",13.3,85.9,7346,0.4,7346,3744,458,485,500,465,28,063
7,"Greene County, Mississippi",73.3,25.5,13714,0.0,13714,5216,642,764,810,640,28,041
8,"Marshall County, Mississippi",49.3,47.9,35787,0.1,35787,15474,2133,2196,2122,2441,28,093
9,"Quitman County, Mississippi",27.5,71.6,7372,0.1,7372,3595,506,462,507,415,28,119
10,"Bolivar County, Mississippi",33.1,64.3,32592,0.7,32592,14362,2259,2360,2190,2493,28,011
11,"Lamar County, Mississippi",76.4,20.0,61223,1.3,61223,24580,3961,4313,4625,3732,28,073
12,"Lee County, Mississippi",67.6,29.0,84915,0.8,84915,36678,5815,6134,6107,5588,28,081
13,"Pike County, Mississippi",44.5,53.5,39737,0.6,39737,18266,2704,3394,2584,2823,28,113
14,"Tallahatchie County, Mississippi",35.4,49.4,14361,1.4,14361,5596,753,762,889,575,28,135
15,"Smith County, Mississippi",75.8,23.1,16063,0.4,16063,7370,903,1116,1162,1113,28,129
16,"Stone County, Mississippi",78.2,19.3,18375,0.0,18375,7413,958,1335,1044,1393,28,131
17,"Warren County, Mississippi",48.6,49.2,47075,0.5,47075,22018,2982,3231,3244,3141,28,149
18,"Clarke County, Mississippi",63.5,35.8,15928,0.0,15928,7987,890,937,1112,1020,28,023
19,"Kemper County, Mississippi",35.3,60.9,10107,0.0,10107,4793,437,476,651,1010,28,069
20,"Montgomery County, Mississippi",52.9,43.4,10198,0.3,10198,5606,599,608,736,540,28,097
