"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-22.0058446836559,10.1982700154443,-2.15780173012973,0.030943250322556
"age",0.0813570262423978,0.0142693753643087,5.70151279683148,1.18748819120196e-08
"latitude",-0.0481084980120769,0.0833519153345446,-0.577173275730817,0.563822408201998
"longitude",0.177317527167412,0.0803519818339121,2.20675984736666,0.027330841627009
"chronic_disease_binary_N",-20.6770524413227,17730.369922575,-0.00116619408007928,0.999069511959517
"chronic_disease_binary_Y",1.92689162988358,0.535011742910961,3.60158754534901,0.000316279878275489
"sex_female",-0.671198467589805,0.471731755599981,-1.42283927173003,0.15478275399773
"country_Algeria",19.2277514809453,8.53706183841134,2.25226803376692,0.0243053389578423
"country_Australia",-12.9300594546642,4.98382616188422,-2.59440418559378,0.00947550202385728
"country_Brazil",4.34921499130444,8285.20287833001,0.000524937657553303,0.99958116036689
"country_France",19.9768948246219,8.38377299649179,2.38280483416969,0.0171813004468671
"country_Gambia",38.5367173650625,17730.3732939411,0.00217348595690489,0.998265810477261
"country_Germany",-2.87370322685693,17730.3715467685,-0.000162078003795735,0.999870680463692
"country_Guyana",47.7084838341364,17730.3759139332,0.00269077678136792,0.997853073340305
"country_Italy",19.0946620545755,7.78350758402947,2.45322071680828,0.0141583435096572
"country_Japan",-24.5833221656345,8734.83067648542,-0.00281440168403195,0.99775443531288
"country_Malaysia",-20.491269956514,6589.62418750196,-0.00310962649362891,0.997518881029515
"country_Nepal",-14.9596565047245,12537.2649926677,-0.00119321530760286,0.999047952154265
"country_Niger",15.1917220562706,9.43528990265881,1.61009594967397,0.107376911185703
"country_Philippines",-4.39753163835346,1.40739062671531,-3.12459920854866,0.00178047470626887
"country_Romania",-2.49402295983935,6739.38189966543,-0.000370067017564796,0.999704729246962
"country_San.Marino",35.3167838537032,17730.3715360719,0.00199188064287611,0.998410710239028
"country_Singapore",-20.6366165650457,1643.51673940911,-0.012556377474114,0.989981723525762
"country_South.Korea",-22.5118152783598,4764.46201560165,-0.00472494380365358,0.996230054315807
"country_Switzerland",-0.861994795907906,12003.9936388491,-7.18090013908533e-05,0.999942704706513
"country_Thailand",-19.8739907963961,12537.2649446957,-0.00158519349188712,0.998735199116645
"country_United.States",53.9736038338626,12537.2742943895,0.0043050508879762,0.996565076973186
"country_Vietnam",-22.2512327064723,2532.56759792245,-0.00878603703400679,0.992989846890855
"country_Zimbabwe",33.7667565242176,17730.3722258364,0.00190445841148294,0.998480462955337
